set_no,name,price_store,price_used,aftermarket,popularity,category,year,volume,weight,total_parts,number_parts,number_colors,scolor_1st,scolor_2nd
3793-1,Boris Bulldog and Mailbox,,7.0,,,Bigfig-Junior,1985.0,,,11,10,6,Yellow,Blue
3794-1,Police Motorcycle,3.35,16.0,12.65,,Bigfig-Junior,1985.0,,,16,11,5,White,Black
3795-1,Catherine Cat in her Kitchen,3.35,15.0,11.65,,Bigfig-Junior,1985.0,,,26,14,5,Yellow,Red
6011-1,Black Knight's Treasure,,15.0,,22.799999999999997,Historical,1985.0,279.3,,27,21,6,Black,Red
6055-1,Prisoner Convoy,,30.0,,25.200000000000003,Historical,1985.0,,,118,65,8,Blue,Black
6102-1,Castle Mini-Figures,5.5,37.0,31.5,23.0,Historical,1985.0,,,36,21,7,Black,Blue
6368-1,Jet Airliner,12.75,35.0,22.25,35.2,Modern-Town,1985.0,,,139,66,10,White,Black
6369-1,Auto Workshop,,31.0,,30.0,Modern-Town,1985.0,,,135,63,11,Red,Gray
6370-1,Weekend Home,,39.0,,20.0,Modern-Town,1985.0,,,188,67,9,Blue,Red
6377-1,Delivery Center,25.5,118.0,92.5,14.100000000000001,Modern-Town,1985.0,,,309,124,12,White,Red
6385-1,Fire House-I,43.0,67.0,24.0,23.0,Modern-Town,1985.0,,,416,105,13,Red,Black
6392-1,Airport,52.75,86.0,33.25,58.800000000000004,Modern-Town,1985.0,,,543,189,14,White,Yellow
6601-1,Ice Cream Cart,,8.0,,14.100000000000001,Modern-Town,1985.0,,,30,19,5,White,Blue
6603-1,Shovel Truck,,4.0,,4.0,Modern-Town,1985.0,,,27,19,5,Black,Yellow
6604-1,Formula 1 Racer,,3.0,,11.2,Modern-Town,1985.0,,,31,20,4,Black,White
6631-1,Steam Shovel,,9.0,,8.0,Modern-Town,1985.0,,,48,30,7,Black,Yellow
6632-1,Tactical Patrol Truck,,5.0,,7.0,Modern-Town,1985.0,,,44,32,7,Black,White
6633-1,Family Car,,17.0,,3.0,Modern-Town,1985.0,,,46,26,9,Black,White
6656-1,Tow Truck,,10.0,,18.0,Modern-Town,1985.0,,,53,34,9,Blue,Gray
6657-1,Fire Patrol Copter,,7.0,,,Modern-Town,1985.0,,,67,41,7,Red,Black
6682-1,Cement Mixer,,13.0,,4.0,Modern-Town,1985.0,,,90,49,9,Blue,White
6688-1,Ambulance,6.6,9.0,2.4000000000000004,16.0,Modern-Town,1985.0,693.12,,72,39,10,Red,White
6689-1,Post-Station,,25.0,,12.0,Modern-Town,1985.0,,,55,31,9,Blue,Black
6697-1,Rescue-I Helicopter,,15.0,,23.0,Modern-Town,1985.0,,,85,56,8,Yellow,Black
6805-1,Astro Dasher,,10.0,,5.0,Space,1985.0,,,29,19,6,Gray,Black
6806-1,Surface Hopper,,10.0,,15.0,Space,1985.0,,,23,13,7,Gray,Black
6807-1,Space Sledge with Astronaut and Robot,,22.0,,3.0,Space,1985.0,,,24,17,4,Black,Gray
6825-1,Cosmic Comet,,10.0,,12.899999999999999,Space,1985.0,,,40,25,6,Gray,Blue
6826-1,Crater Crawler,,14.0,,12.0,Space,1985.0,,,32,22,4,Black,Gray
6847-1,Space Dozer,,14.0,,12.899999999999999,Space,1985.0,,,49,32,5,Gray,Black
6848-2,Inter-Planetary Shuttle,,45.0,,,Space,1985.0,,,54,36,6,Gray,Black
6872-1,Xenon X-Craft,,16.0,,30.099999999999998,Space,1985.0,,,76,46,6,Gray,Blue
6882-1,Walking Astro Grappler,,26.0,,35.2,Space,1985.0,,,102,40,6,Blue,Gray
6891-1,Gamma V Laser Craft,,38.0,,19.2,Space,1985.0,,,135,72,7,Gray,Black
6931-1,FX Star Patroller,,62.0,,19.2,Space,1985.0,,,227,104,7,Gray,Blue
6952-1,Solar Power Transporter,36.5,61.0,24.5,25.0,Space,1985.0,,,305,86,9,Gray,Black
